timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748008138839,2060,Launch,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /200/,3995,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,1642,0,1333
1748008138839,1643,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,701,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,1642,0,1333
1748008140485,414,Launch-1,200,OK,Thread Group 1-1,text,true,,3294,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,403,0,97
1748008207358,392,Launch,200,OK,Thread Group 1-1,text,false,Test failed: text expected to contain /200/,3993,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,258,0,225
1748008207358,258,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,699,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,258,0,225
1748008207618,132,Launch-1,200,OK,Thread Group 1-1,text,true,,3294,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,130,0,100
1748008208361,302,Launch,200,OK,Thread Group 1-2,text,false,Test failed: text expected to contain /200/,3994,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,127,0,93
1748008208361,128,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,701,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,127,0,93
1748008208490,173,Launch-1,200,OK,Thread Group 1-2,text,true,,3293,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,173,0,90
1748008209384,310,Launch,200,OK,Thread Group 1-3,text,false,Test failed: text expected to contain /200/,3991,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,191,0,162
1748008209384,191,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,698,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,191,0,162
1748008209576,118,Launch-1,200,OK,Thread Group 1-3,text,true,,3293,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,117,0,82
1748008210383,425,Launch,200,OK,Thread Group 1-4,text,false,Test failed: text expected to contain /200/,4002,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,224,0,126
1748008210383,224,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,709,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,224,0,126
1748008210609,199,Launch-1,200,OK,Thread Group 1-4,text,true,,3293,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,199,0,173
1748008211370,298,Launch,200,OK,Thread Group 1-5,text,false,Test failed: text expected to contain /200/,3989,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,128,0,90
1748008211370,129,Launch-0,301,Moved Permanently,Thread Group 1-5,text,true,,696,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,128,0,90
1748008211501,167,Launch-1,200,OK,Thread Group 1-5,text,true,,3293,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,165,0,82
1748008212383,376,Launch,200,OK,Thread Group 1-6,text,false,Test failed: text expected to contain /200/,3990,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,145,0,82
