timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1748008493098,198,Launch,200,OK,Thread Group 1-1,text,true,,3994,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,111,0,83
1748008493098,111,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,700,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,111,0,83
1748008493209,87,Launch-1,200,OK,Thread Group 1-1,text,true,,3294,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,87,0,60
1748008493298,70,Launch,200,OK,Thread Group 1-1,text,true,,3996,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,30,0,0
1748008493298,31,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,702,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,30,0,0
1748008493329,39,Launch-1,200,OK,Thread Group 1-1,text,true,,3294,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,36,0,0
1748008493370,81,Launch,200,OK,Thread Group 1-1,text,true,,3994,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,39,0,0
1748008493370,39,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,700,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,39,0,0
1748008493410,41,Launch-1,200,OK,Thread Group 1-1,text,true,,3294,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,40,0,0
1748008493452,54,Launch,200,OK,Thread Group 1-1,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,27,0,0
1748008493452,27,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,27,0,0
1748008493479,27,Launch-1,200,OK,Thread Group 1-1,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,27,0,0
1748008493507,342,Launch,200,OK,Thread Group 1-1,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,290,0,0
1748008493507,290,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,290,0,0
1748008493797,52,Launch-1,200,OK,Thread Group 1-1,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,46,0,0
1748008493851,67,Launch,200,OK,Thread Group 1-1,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,37,0,0
1748008493851,37,Launch-0,301,Moved Permanently,Thread Group 1-1,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,37,0,0
1748008493889,29,Launch-1,200,OK,Thread Group 1-1,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,29,0,0
1748008494125,201,Launch,200,OK,Thread Group 1-2,text,true,,3995,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,88,0,61
1748008494125,88,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,700,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,88,0,61
1748008494214,112,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,109,0,82
1748008494328,76,Launch,200,OK,Thread Group 1-2,text,true,,3997,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,28,0,0
1748008494328,28,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,702,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,28,0,0
1748008494356,48,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,47,0,0
1748008494405,61,Launch,200,OK,Thread Group 1-2,text,true,,3994,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,27,0,0
1748008494405,27,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,699,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,27,0,0
1748008494433,33,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,33,0,0
1748008494475,67,Launch,200,OK,Thread Group 1-2,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,26,0,0
1748008494475,26,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,26,0,0
1748008494502,40,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,40,0,0
1748008494552,66,Launch,200,OK,Thread Group 1-2,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,32,0,0
1748008494552,32,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,32,0,0
1748008494584,34,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,33,0,0
1748008494619,91,Launch,200,OK,Thread Group 1-2,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,43,0,0
1748008494619,44,Launch-0,301,Moved Permanently,Thread Group 1-2,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,43,0,0
1748008494663,47,Launch-1,200,OK,Thread Group 1-2,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,47,0,0
1748008495104,284,Launch,200,OK,Thread Group 1-3,text,true,,3995,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,169,0,83
1748008495104,169,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,700,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,169,0,83
1748008495275,113,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,113,0,78
1748008495389,75,Launch,200,OK,Thread Group 1-3,text,true,,3997,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,27,0,0
1748008495389,27,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,702,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,27,0,0
1748008495417,47,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,47,0,0
1748008495466,104,Launch,200,OK,Thread Group 1-3,text,true,,3994,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,58,0,0
1748008495466,58,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,699,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,58,0,0
1748008495525,45,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,42,0,0
1748008495571,63,Launch,200,OK,Thread Group 1-3,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,26,0,0
1748008495571,26,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,26,0,0
1748008495598,36,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,36,0,0
1748008495636,81,Launch,200,OK,Thread Group 1-3,text,true,,3993,318,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,27,0,0
1748008495636,27,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,698,157,1,1,https://saucedemo.com/?Username=error_user&Password=secret_sauce,27,0,0
1748008495665,52,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,161,1,1,https://www.saucedemo.com/?Username=error_user&Password=secret_sauce,52,0,0
1748008495719,75,Launch,200,OK,Thread Group 1-3,text,true,,3994,320,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,39,0,0
1748008495719,39,Launch-0,301,Moved Permanently,Thread Group 1-3,text,true,,699,158,1,1,https://saucedemo.com/?Username=visual_user&Password=secret_sauce,39,0,0
1748008495758,36,Launch-1,200,OK,Thread Group 1-3,text,true,,3295,162,1,1,https://www.saucedemo.com/?Username=visual_user&Password=secret_sauce,32,0,0
1748008496107,305,Launch,200,OK,Thread Group 1-4,text,true,,3995,324,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,141,0,113
1748008496107,141,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,701,160,1,1,https://saucedemo.com/?Username=standard_user&Password=secret_sauce,141,0,113
1748008496250,162,Launch-1,200,OK,Thread Group 1-4,text,true,,3294,164,1,1,https://www.saucedemo.com/?Username=standard_user&Password=secret_sauce,159,0,130
1748008496414,53,Launch,200,OK,Thread Group 1-4,text,true,,3998,328,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,21,0,0
1748008496414,21,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,703,162,1,1,https://saucedemo.com/?Username=locked_out_user&Password=secret_sauce,21,0,0
1748008496436,31,Launch-1,200,OK,Thread Group 1-4,text,true,,3295,166,1,1,https://www.saucedemo.com/?Username=locked_out_user&Password=secret_sauce,31,0,0
1748008496469,49,Launch,200,OK,Thread Group 1-4,text,true,,3995,322,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,20,0,0
1748008496469,20,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,700,159,1,1,https://saucedemo.com/?Username=problem_user&Password=secret_sauce,20,0,0
1748008496489,29,Launch-1,200,OK,Thread Group 1-4,text,true,,3295,163,1,1,https://www.saucedemo.com/?Username=problem_user&Password=secret_sauce,29,0,0
1748008496519,93,Launch,200,OK,Thread Group 1-4,text,true,,4006,344,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,33,0,0
1748008496519,33,Launch-0,301,Moved Permanently,Thread Group 1-4,text,true,,711,170,1,1,https://saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,33,0,0
1748008496552,60,Launch-1,200,OK,Thread Group 1-4,text,true,,3295,174,1,1,https://www.saucedemo.com/?Username=performance_glitch_user&Password=secret_sauce,60,0,0
